"file_get_contents","file_get_contents"
"cURL","cURL"
"Use HTTP Basic Authentication","HTTP Basis-Authentifizierung verwenden"
"HTTP Basic Authentication: Username","HTTP Basis-Authentifizierung: Benutzername"
"HTTP Basic Authentication: Password","HTTP Basis-Authentifizierung: Passwort"
"Exclude this Product from Solr Index","Dieses Produkt vom Solr-Index ausschließen"
"Size of Price Steps","Größe der Preis-Schritte"
"i.e. 100","z.B. 100"
"Upper Limit of Price Steps","Obergrenze der Preis-Schritte"
"i.e. 1000","z.B. 1000"
"Use Custom Price Intervals","Individuelle Preisintervalle verwenden"
"Needs Solr 4.10+","Benötigt Solr 4.10+"
"Needs Solr 4.10+ and Magento CE 1.7+ / Magento EE 1.12+","Benötigt Solr 4.10+ und Magento CE 1.7+ / Magento EE 1.12+"
"Custom Price Intervals","Individuelle Preisintervalle"
"Divide steps by comma, i.e. 10,20,50,100,200,300,400,500","Grenzen durch Komma getrennt, z.B. 10,20,50,100,200,300,400,500"
"from %s","ab %s"
"Delete all Solr Index Entries before Reindexing","Alle Solr-Indexeinträge vor Neuindizierung löschen"
"Swap Cores after Full Reindex","Cores tauschen nach vollständiger Neuindizierung"
"Allows reindexing on an inactive core and switch when finished","Ermöglicht die Neunindizierung auf einem inaktiven Core und Tausch, wenn abgeschlossen."
"Name of Core to swap active Core with","Name des Cores, mit dem der aktive Core getauscht werden soll"
"Search Operator","Such-Operator"
"AND","UND"
"OR","ODER"
"Solr Module is not activated.","Das Solr-Modul ist nicht aktiviert."
"Solr Module is activated.","Das Solr-Modul ist aktiviert."
"Solr server configuration is incomplete.","Die Solr-Serverkonfiguration ist unvollständig."
"Solr server configuration is complete.","Die Solr-Serverkonfiguration ist vollständig."
"Connection to Solr server failed.","Verbindung zum Solr-Server fehlgeschlagen."
"Connection to Solr server established successfully.","Verbindung zum Solr-Server erfolgreich aufgebaut."
"Please enter name of core and swap core.","Bitte geben Sie die Namen von Core und Austausch-Core an."
"Solr Connection to swap core could not be established.","Verbindung zum Austausch-Core des Solr-Servers konnte nicht aufgebaut werden."
"Solr Connection to swap core established successfully.","Verbindung zum Austausch-Core des Solr-Servers erfolgreich aufgebaut."
"Test search request issued successfully.","Test-Suchanfrage erfolgreich abgesetzt."
"Test search request failed.","Test-Suchanfrage fehlgeschlagen."
"Probably the configuration files are not installed correctly on the Solr server.","Wahrscheinlich sind die Konfigurationsdateien nicht korrekt auf dem Solr-Server eingespielt."
"Test search request to swap core issued successfully.","Test-Suchanfrage zum Austausch-Core des Solr-Servers erfolgreich abgesetzt."
"Test search request to swap core failed.","Test-Suchanfrage zum Austausch-Core des Solr-Servers fehlgeschlagen."
"Maybe the configuration files are not installed correctly on the Solr swap core.","Möglicherweise sind die Konfigurationsdateien nicht korrekt auf dem Austausch-Core des Solr-Servers eingespielt."
"You can get a meaningful error message from the tab ""Logging"" on the Solr Admin Interface.","Sie können eine aussagekräftige Fehlermeldung im Tab ""Logging"" der Solr-Adminoberfläche einsehen."
"Module version: %s","Modul-Version: %s"
"Library version: %s","Library-Version: %s"
"The IntegerNet_Solr library is not installed. You can get it from <a href=""%s"" target=""_blank"">%s</a>.","Die IntegerNet_Solr-Bibliothek ist nicht installiert. Sie erhalten sie unter <a href=""%s"" target=""_blank"">%s</a>."
"The IntegerNet_Solr Pro library is not installed. You can get it from <a href=""%s"" target=""_blank"">%s</a>.","Die IntegerNet_Solr-Pro-Bibliothek ist nicht installiert. Sie erhalten sie unter <a href=""%s"" target=""_blank"">%s</a>."
"Magento version: %s","Magento-Version: %s"
"Magento version: %s (%s Edition)","Magento-Version: %s (%s Edition)"
"Solr version: %s","Solr-Version: %s"
"Use HTTPS","HTTPS verwenden"
"Register Autoloader","Autoloader registrieren"
"Disable if you are using an own PSR-4 autoloader, e.g. from composer","Deaktivieren, wenn Sie einen eigenen PSR-4 Autoloader nutzen, z.B. von composer"
"Autoloader Base Path","Basis-Pfad für Autoloader"
"Path to IntegerNet_Solr library. Absolute path or relative to Magento base dir.","Pfad zur IntegerNet_Solr Bibliothek. Absoluter Pfad oder relativ zum Magento Basisverzeichnis."
"Remove Filters","Filter entfernen"
"Hold the CTRL key to select multiple filters","STRG-Taste gedrückt halten für mehrere Filter"
"The module Aoe_LayoutConditions is not installed. Please get it from <a href=""%s"" target=""_blank"">%s</a>.","Das Modul Aoe_LayoutConditions ist nicht installiert. Bitte installieren Sie es von <a href=""%s"" target=""_blank"">%s</a>."
"Redirect to product page on direct match in one of these attributes","Weiterleitung zur Produktseite bei 100% Übereinstimmung mit einem dieser Attribute"
"If the exact name / sku / ... is entered in the search field, the customer will be redirected to the product view page.","Wenn der exakte Name / SKU / ... in das Suchfeld eingetragen wird, wird der Kunde auf die entsprechende Produktseite weitergeleitet."
"Redirect to category page on direct match in one of these attributes","Weiterleitung zur Kategorieseite bei 100% Übereinstimmung mit einem dieser Attribute"
"If the exact name / ... is entered in the search field, the customer will be redirected to the category view page.","Wenn der exakte Name / ... in das Suchfeld eingetragen wird, wird der Kunde auf die entsprechende Kategorieseite weitergeleitet."
"Position of Filters","Position der Filter"
"Left column (Magento default)","Linke Spalte (Magento-Standard)"
"Content column (above products)","Inhaltsspalte (oberhalb der Produkte)"
"Default Value from Configuration","Standardwert aus der Konfiguration"
"Maximum number of Filter Options per Filter","Maximalanzahl Filteroptionen pro Filter"
"0 = all","0 = alle"
"Sort Filter Options alphabetically","Filteroptionen alphabetisch sortieren"
"By default, filters are sorted by number of results.","Filter sind standardmäßig nach Anzahl der Treffer sortiert."
"Show category filter","Kategorie-Filter anzeigen"
"Show products which are out of stock","Produkte anzeigen, die nicht auf Lager sind"
"Solr Priority Multiplier for Products being out of Stock","Solr-Prioritäts-Multiplikator für ausverkaufte Produkte"
"0 = don't show at all, 1 = don't modify, anything between = lower priority","0 = gar nicht anzeigen, 1 = wie Produkte auf Lager, alles dazwischen = niedrigere Priorität"
"Disconnect and reconnect MySQL Connections during indexing","MySQL-Verbindungen während der Indizierung trennen und neu aufbauen"
"Use this to avoid SQL timeout errors during indexing. Only available since Magento CE 1.9.1 / EE 1.14.1.","Aktivieren Sie diese Option, wenn Sie Timeout-Fehler während der Indizierung erhalten. Verfügbar erst ab Magento CE 1.9.1 / EE 1.14.1."
